timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646487643145,773,Requisição HTTP,200,,Grupo de Usuários 1-1,text,true,,344,141,8,8,https://voting-assembly.herokuapp.com/scheduler,773,0,495
1646487643250,737,Requisição HTTP,200,,Grupo de Usuários 1-2,text,true,,344,141,9,9,https://voting-assembly.herokuapp.com/scheduler,737,0,457
1646487643360,748,Requisição HTTP,200,,Grupo de Usuários 1-3,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,748,0,464
1646487643918,275,Requisição HTTP,200,,Grupo de Usuários 1-1,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,275,0,0
1646487643453,754,Requisição HTTP,200,,Grupo de Usuários 1-4,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,754,0,475
1646487643987,278,Requisição HTTP,200,,Grupo de Usuários 1-2,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,278,0,0
1646487643547,752,Requisição HTTP,200,,Grupo de Usuários 1-5,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,752,0,476
1646487644108,269,Requisição HTTP,200,,Grupo de Usuários 1-3,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,269,0,0
1646487643656,738,Requisição HTTP,200,,Grupo de Usuários 1-6,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,738,0,465
1646487644193,272,Requisição HTTP,200,,Grupo de Usuários 1-1,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,272,0,0
1646487644207,274,Requisição HTTP,200,,Grupo de Usuários 1-4,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,274,0,0
1646487643750,737,Requisição HTTP,200,,Grupo de Usuários 1-7,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,737,0,472
1646487644265,271,Requisição HTTP,200,,Grupo de Usuários 1-2,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,271,0,0
1646487644299,276,Requisição HTTP,200,,Grupo de Usuários 1-5,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,276,0,0
1646487643859,753,Requisição HTTP,200,,Grupo de Usuários 1-8,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,753,0,475
1646487644377,269,Requisição HTTP,200,,Grupo de Usuários 1-3,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,269,0,0
1646487643953,761,Requisição HTTP,200,,Grupo de Usuários 1-9,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,761,0,470
1646487644394,320,Requisição HTTP,200,,Grupo de Usuários 1-6,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,320,0,0
1646487644465,270,Requisição HTTP,200,,Grupo de Usuários 1-1,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,270,0,0
1646487644481,271,Requisição HTTP,200,,Grupo de Usuários 1-4,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,271,0,0
1646487644487,273,Requisição HTTP,200,,Grupo de Usuários 1-7,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,273,0,0
1646487644045,757,Requisição HTTP,200,,Grupo de Usuários 1-10,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,757,0,481
1646487644536,270,Requisição HTTP,200,,Grupo de Usuários 1-2,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,270,0,0
1646487644575,266,Requisição HTTP,200,,Grupo de Usuários 1-5,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,266,0,0
1646487644612,271,Requisição HTTP,200,,Grupo de Usuários 1-8,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,271,0,0
1646487644646,277,Requisição HTTP,200,,Grupo de Usuários 1-3,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,277,0,0
1646487644714,267,Requisição HTTP,200,,Grupo de Usuários 1-9,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,267,0,0
1646487644714,271,Requisição HTTP,200,,Grupo de Usuários 1-6,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,271,0,0
1646487644735,280,Requisição HTTP,200,,Grupo de Usuários 1-1,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,280,0,0
1646487644752,280,Requisição HTTP,200,,Grupo de Usuários 1-4,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,280,0,0
1646487644760,277,Requisição HTTP,200,,Grupo de Usuários 1-7,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,277,0,0
1646487644802,275,Requisição HTTP,200,,Grupo de Usuários 1-10,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,275,0,0
1646487644806,276,Requisição HTTP,200,,Grupo de Usuários 1-2,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,276,0,0
1646487644841,283,Requisição HTTP,200,,Grupo de Usuários 1-5,text,true,,344,141,10,10,https://voting-assembly.herokuapp.com/scheduler,283,0,0
1646487644883,267,Requisição HTTP,200,,Grupo de Usuários 1-8,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,267,0,0
1646487644923,272,Requisição HTTP,200,,Grupo de Usuários 1-3,text,true,,323,139,10,10,https://voting-assembly.herokuapp.com/session,272,0,0
1646487644981,277,Requisição HTTP,200,,Grupo de Usuários 1-9,text,true,,406,136,10,10,https://voting-assembly.herokuapp.com/vote,277,0,0
